dataset, model, R, U1, U2, S, acc
mimic, dataset, 0.05130694753946591, 0.17080806266621415, 2.719328957684913e-08, 0.005655795653384699, 1
mimic, MI, 0.024088376959417512, 0.26167057055974974, 6.77069216160409e-08, 0.00746389734847186, 0.9163090128755365
mimic, transformer, -1.2209566690789086e-11, 1.5374722586163873e-17, 2.3747707853726703e-17, 1.220964578822346e-11, 0.8307786633966892
mimic, additive, 0.013505986545341686, 0.26942815029638234, 4.434328187455475e-08, 0.004319820451871292, 0.9163090128755365
mimic, agree, 0.014743968977284083, 0.26808496043684, 4.464441848921999e-08, 0.004396695430237185, 0.9172286940527283
mimic, early_fusion, 0.006471503235732312, 0.2736161483680035, 5.951082409667617e-08, 0.0049783421207475476, 0.9132434089515634
mimic, outer, 0.0028801305058284155, 0.2818614438051087, 9.428692436214387e-08, 0.005107459556520144, 0.9144696505211527
mimic, lower, 0.004796452398014683, 0.2779704419799701, 1.377140481244606e-07, 0.005390026043525675, 0.9135499693439607
mimic, elem, 0.03585300541356376, 0.24361346873898596, 1.896092323873991e-08, 0.006193012596424269, 0.9104843654199878
mimic, align, 0.005196883034313482, 0.28084174429094105, 3.9850186805756346e-08, 0.0033522913274643407, 0.91477621091355
mimic, mfm, 0.03820789802699595, 0.0008758464231538822, 0.027349771270457273, 0.10628658645315403, 0.688534641324341

enrico, dataset, 0.7305898871257488, 0.37565504538959893, 0.5295818376620958, 0.3351161376596552, 1
enrico, early_fusion, 0.7060407618184337, 0.3385187323859562, 0.4363680053835782, 0.38299284605793904, 0.5
enrico, MI, 0.5636542296886529, 0.28140881071767665, 0.41492929016532754, 0.3370629139029573, 0.476027397260274
enrico, additive, 0.6949099650536197, 0.27541211570972507, 0.3898841001148936, 0.3527199436483379, 0.3013698630136986
enrico, lower, 0.37609839727350414, 0.6869538696099129, 0.28767056551089387, 0.5165514110167337, 0.5205479452054794
enrico, elem, 0.3486980371467585, 0.7265166581502931, 0.29583334364353686, 0.4308769422855163, 0.4383561643835616
enrico, agree, 0.400053806405156, 0.30003084083565174, 0.5186823723810561, 0.7464267615827853, 0.5068493150684932
enrico, outer, 0.375070561905249, 0.4759726122915262, 0.3161997867600396, 0.6850835563495279, 0.496575342465753
enrico, align, 0.3770064358317815, 0.5706956722162584, 0.3364092710066543, 0.7552585888242378, 0.517123287671232


humor12, dataset, 0.007483712443840943, 0.002142831135222316, 0.0018722723944138962, 0.03802610352513544, 1
humor12, early_fusion, 0.017036575383368467, 0.00026888011954396114, 0.019277376315763105, 0.055254844487625465, 0.593572778827977
humor12, additive, 0.019860586684223927, 6.5080840070297856e-15, 0.02058272717973137, 0.15155336365803504, 0.596408317580340
humor12, agree, 0.01674791626625817, 0.0002731062651220743, 0.018711273035937972, 0.052290452181589266, 0.588846880907372
humor12, align, 0.017738161989190447, 5.953516110429323e-15, 0.021838342804609546, 0.05521373610142097, 0.584120982986767
humor12, lower, 0.016992379650745588, 0.00027456153418684357, 0.009210121413795309, 0.1392883136151692, 0.6030245746691871
humor12, outer, 0.010661077635937807, 0.0010981652313590004, 0.027118622526356058, 0.047480426610202915, 0.619092627599243
humor12, elem, 0.009252116039106827, 6.600735935549113e-16, 0.028361021985546405, 0.04909190735824252, 0.636105860113421
humor12, MI, 0.007748380729308391, 2.21335469026584e-15, 0.034592922045169935, 0.04049643349975441, 0.620982986767485
humor12, mfm, 0.012263746326973433, 5.353909481643904e-16, 0.01766371417907846, 0.04423418625025943, 0.615311909262759

humor01, dataset, 0.009618501683785238, 0.021567045330219796, 8.041879712466572e-06, 0.17397303170620346, 1
humor01, additive, 0.11393450117201284, 0.07506477119994213, 1.2412653596549635e-07, 0.16555424612967276, 0.5576559546313
